iter	Passed	Remaining
0	147	147295
1	149	74440
2	151	50376
3	153	38306
4	155	30985
5	157	26104
6	159	22668
7	161	20049
8	163	18003
9	165	16377
10	167	15079
11	169	13983
12	172	13062
13	173	12229
14	175	11495
15	176	10845
16	177	10274
17	178	9748
18	179	9290
19	181	8872
20	182	8506
21	183	8156
22	184	7833
23	185	7549
24	187	7296
25	187	7036
26	188	6799
27	189	6580
28	190	6373
29	191	6183
30	192	6003
31	192	5832
32	193	5674
33	194	5529
34	195	5389
35	196	5256
36	197	5130
37	197	5010
38	199	4909
39	199	4798
40	200	4691
41	201	4590
42	201	4494
43	202	4401
44	203	4311
45	203	4226
46	204	4145
47	205	4066
48	205	3992
49	206	3921
50	207	3853
51	207	3785
52	208	3720
53	208	3659
54	209	3602
55	210	3549
56	211	3496
57	211	3443
58	212	3391
59	213	3342
60	213	3293
61	214	3245
62	215	3199
63	215	3153
64	216	3110
65	216	3068
66	217	3026
67	217	2987
68	218	2948
69	219	2911
70	219	2875
71	220	2840
72	220	2805
73	221	2772
74	222	2739
75	222	2707
76	223	2676
77	223	2646
78	224	2619
79	225	2591
80	225	2564
81	226	2537
82	226	2507
83	227	2480
84	228	2455
85	228	2429
86	229	2404
87	229	2380
88	230	2357
89	230	2334
90	231	2312
91	232	2290
92	232	2268
93	233	2247
94	233	2226
95	234	2207
96	235	2188
97	235	2169
98	236	2151
99	237	2133
100	237	2115
101	238	2097
102	238	2080
103	239	2064
104	240	2050
105	241	2034
106	241	2018
107	242	2001
108	242	1985
109	243	1969
110	244	1954
111	244	1939
112	245	1924
113	245	1909
114	246	1895
115	246	1881
116	247	1866
117	247	1852
118	248	1839
119	249	1826
120	249	1813
121	250	1800
122	250	1787
123	251	1775
124	251	1763
125	252	1751
126	252	1738
127	253	1727
128	254	1716
129	254	1705
130	255	1696
131	256	1686
132	257	1675
133	257	1664
134	258	1654
135	258	1643
136	259	1633
137	259	1622
138	260	1612
139	260	1603
140	261	1593
141	261	1582
142	262	1573
143	263	1563
144	263	1554
145	264	1545
146	264	1536
147	265	1527
148	265	1518
149	266	1510
150	267	1502
151	267	1494
152	268	1485
153	269	1477
154	269	1470
155	270	1463
156	271	1456
157	271	1448
158	272	1441
159	273	1433
160	273	1425
161	274	1419
162	274	1411
163	275	1404
164	276	1397
165	276	1390
166	277	1383
167	277	1375
168	278	1368
169	278	1362
170	279	1355
171	280	1348
172	280	1341
173	281	1335
174	281	1328
175	282	1322
176	283	1315
177	283	1309
178	284	1303
179	284	1297
180	285	1292
181	286	1287
182	287	1281
183	287	1275
184	288	1269
185	288	1263
186	289	1258
187	289	1252
188	290	1246
189	291	1240
190	291	1235
191	292	1229
192	292	1224
193	293	1218
194	293	1213
195	294	1208
196	295	1203
197	295	1197
198	296	1192
199	296	1187
200	297	1182
201	298	1177
202	298	1172
203	299	1167
204	299	1163
205	300	1159
206	301	1155
207	302	1150
208	302	1145
209	303	1141
210	303	1136
211	304	1131
212	305	1127
213	305	1122
214	306	1118
215	306	1113
216	307	1108
217	307	1104
218	308	1099
219	308	1095
220	309	1091
221	310	1086
222	310	1082
223	311	1078
224	312	1075
225	312	1071
226	313	1067
227	314	1063
228	314	1060
229	315	1057
230	316	1054
231	317	1051
232	318	1047
233	318	1044
234	319	1040
235	320	1036
236	320	1032
237	321	1028
238	321	1024
239	322	1021
240	322	1017
241	323	1013
242	324	1009
243	324	1006
244	325	1002
245	326	999
246	326	996
247	327	992
248	327	988
249	328	985
250	329	981
251	329	978
252	330	975
253	331	972
254	331	969
255	332	966
256	333	963
257	333	959
258	334	956
259	334	952
260	335	949
261	335	946
262	336	942
263	337	939
264	337	936
265	338	933
266	338	929
267	339	926
268	339	923
269	340	920
270	341	917
271	341	914
272	342	911
273	342	908
274	343	905
275	343	902
276	344	899
277	345	896
278	345	893
279	346	891
280	347	888
281	347	885
282	348	883
283	349	880
284	349	877
285	350	874
286	350	871
287	351	868
288	351	865
289	352	862
290	353	860
291	353	857
292	354	855
293	354	852
294	355	849
295	356	847
296	356	844
297	357	841
298	357	839
299	358	836
300	359	833
301	359	831
302	360	828
303	360	826
304	361	824
305	362	821
306	363	819
307	363	816
308	364	814
309	364	812
310	365	809
311	366	807
312	366	804
313	367	802
314	367	800
315	368	797
316	369	795
317	369	792
318	370	790
319	370	787
320	371	785
321	371	783
322	372	780
323	373	778
324	373	776
325	374	774
326	374	771
327	375	769
328	376	767
329	377	765
330	377	763
331	378	761
332	379	759
333	379	756
334	380	754
335	380	752
336	381	750
337	381	747
338	382	745
339	383	743
340	383	741
341	384	739
342	384	736
343	385	734
344	385	732
345	386	730
346	387	728
347	387	726
348	388	724
349	388	721
350	389	719
351	389	717
352	390	715
353	391	713
354	392	712
355	392	710
356	393	708
357	394	706
358	394	704
359	395	702
360	395	700
361	396	698
362	397	696
363	397	694
364	398	692
365	398	690
366	399	688
367	400	687
368	400	685
369	401	683
370	401	681
371	402	679
372	402	677
373	403	675
374	404	673
375	404	671
376	405	669
377	405	667
378	406	666
379	407	664
380	407	662
381	408	661
382	409	659
383	409	657
384	410	655
385	410	653
386	411	651
387	411	649
388	412	647
389	413	646
390	413	644
391	414	642
392	414	640
393	415	638
394	415	637
395	416	635
396	417	633
397	417	631
398	418	630
399	418	628
400	419	626
401	420	624
402	420	623
403	421	621
404	422	620
405	422	618
406	423	617
407	424	615
408	424	613
409	425	611
410	425	610
411	426	608
412	427	606
413	427	605
414	428	603
415	428	601
416	429	600
417	429	598
418	430	596
419	431	595
420	431	593
421	432	591
422	432	590
423	433	588
424	433	587
425	434	585
426	435	583
427	435	582
428	436	580
429	437	579
430	437	578
431	438	576
432	439	575
433	440	573
434	440	572
435	441	570
436	441	569
437	442	567
438	442	565
439	443	564
440	444	562
441	444	561
442	445	559
443	445	558
444	446	556
445	447	555
446	447	553
447	448	552
448	448	550
449	449	549
450	450	547
451	450	546
452	451	545
453	452	544
454	453	543
455	454	541
456	454	540
457	455	538
458	455	537
459	456	535
460	456	534
461	457	532
462	458	531
463	458	529
464	459	528
465	459	526
466	460	525
467	460	523
468	461	522
469	462	521
470	462	519
471	463	518
472	464	517
473	464	515
474	465	514
475	465	512
476	466	511
477	467	510
478	467	509
479	468	507
480	469	506
481	470	505
482	470	503
483	471	502
484	472	501
485	472	500
486	473	498
487	473	497
488	474	495
489	475	494
490	475	493
491	476	492
492	477	490
493	477	489
494	478	488
495	478	486
496	479	485
497	480	483
498	480	482
499	481	481
500	481	480
501	482	479
502	483	478
503	484	476
504	485	475
505	485	474
506	486	472
507	486	471
508	487	470
509	487	468
510	488	467
511	489	466
512	489	465
513	490	463
514	491	462
515	491	461
516	492	459
517	492	458
518	493	457
519	494	456
520	494	454
521	495	453
522	496	452
523	497	451
524	497	450
525	498	449
526	499	448
527	499	446
528	500	445
529	501	444
530	502	443
531	502	442
532	503	441
533	504	439
534	504	438
535	505	437
536	505	436
537	506	434
538	507	434
539	508	432
540	508	431
541	509	430
542	509	429
543	510	427
544	511	426
545	511	425
546	512	424
547	513	423
548	514	423
549	515	421
550	516	420
551	516	419
552	517	418
553	517	416
554	518	415
555	518	414
556	519	413
557	520	412
558	521	411
559	521	409
560	522	408
561	522	407
562	523	406
563	523	405
564	524	403
565	525	402
566	525	401
567	526	400
568	527	399
569	528	398
570	528	397
571	529	396
572	530	395
573	530	393
574	531	392
575	532	391
576	533	390
577	533	389
578	534	388
579	535	387
580	536	386
581	537	385
582	538	385
583	539	384
584	540	383
585	540	382
586	541	381
587	542	379
588	543	379
589	543	377
590	544	376
591	545	375
592	545	374
593	546	373
594	547	372
595	547	371
596	548	370
597	548	369
598	549	368
599	550	366
600	550	365
601	551	364
602	552	363
603	552	362
604	553	361
605	554	360
606	554	359
607	555	358
608	556	357
609	556	356
610	558	355
611	559	354
612	560	353
613	560	352
614	561	351
615	562	350
616	563	349
617	563	348
618	564	347
619	564	346
620	565	345
621	566	344
622	567	343
623	567	342
624	568	341
625	569	340
626	570	339
627	570	338
628	571	337
629	573	337
630	574	336
631	575	335
632	576	334
633	576	333
634	577	332
635	578	331
636	580	330
637	581	329
638	582	328
639	582	327
640	583	326
641	583	325
642	584	324
643	584	323
644	585	322
645	586	321
646	586	320
647	587	319
648	588	318
649	589	317
650	589	316
651	591	315
652	591	314
653	592	313
654	593	312
655	593	311
656	594	310
657	595	309
658	595	308
659	596	307
660	597	306
661	597	305
662	598	304
663	598	303
664	599	301
665	600	300
666	600	299
667	601	298
668	601	297
669	602	296
670	603	296
671	604	295
672	606	294
673	607	293
674	607	292
675	608	291
676	609	290
677	609	289
678	610	288
679	611	287
680	612	286
681	612	285
682	613	284
683	614	283
684	614	282
685	615	281
686	616	280
687	616	279
688	617	278
689	618	277
690	619	276
691	619	275
692	620	274
693	621	273
694	621	272
695	622	271
696	623	270
697	623	269
698	624	268
699	625	267
700	625	266
701	626	266
702	627	265
703	628	264
704	629	263
705	630	262
706	631	261
707	632	260
708	633	259
709	633	258
710	634	258
711	635	257
712	636	256
713	637	255
714	638	254
715	639	253
716	640	252
717	641	251
718	642	250
719	642	249
720	643	248
721	644	247
722	644	246
723	645	245
724	645	244
725	646	244
726	648	243
727	649	242
728	650	241
729	651	240
730	652	240
731	653	239
732	653	238
733	654	237
734	655	236
735	656	235
736	656	234
737	657	233
738	658	232
739	659	231
740	660	230
741	660	229
742	661	228
743	662	227
744	663	227
745	663	226
746	664	225
747	666	224
748	667	223
749	668	222
750	669	221
751	669	220
752	670	219
753	671	218
754	671	218
755	672	217
756	673	216
757	673	215
758	674	214
759	675	213
760	675	212
761	676	211
762	677	210
763	678	209
764	679	208
765	681	208
766	683	207
767	684	206
768	684	205
769	685	204
770	686	203
771	686	202
772	687	201
773	687	200
774	688	199
775	689	198
776	689	197
777	690	196
778	690	195
779	691	195
780	692	194
781	693	193
782	695	192
783	696	191
784	697	190
785	697	189
786	698	189
787	699	188
788	699	187
789	700	186
790	700	185
791	701	184
792	702	183
793	702	182
794	703	181
795	703	180
796	704	179
797	705	178
798	705	177
799	706	176
800	707	175
801	708	174
802	708	173
803	709	173
804	711	172
805	712	171
806	713	170
807	714	169
808	714	168
809	715	167
810	716	166
811	716	165
812	717	164
813	717	164
814	718	163
815	719	162
816	719	161
817	720	160
818	720	159
819	721	158
820	722	157
821	723	156
822	724	155
823	725	154
824	727	154
825	728	153
826	728	152
827	729	151
828	729	150
829	730	149
830	731	148
831	731	147
832	732	146
833	732	145
834	733	144
835	734	144
836	734	143
837	735	142
838	735	141
839	736	140
840	738	139
841	739	138
842	740	137
843	741	137
844	742	136
845	743	135
846	743	134
847	744	133
848	745	132
849	745	131
850	746	130
851	747	129
852	747	128
853	748	127
854	748	126
855	749	126
856	749	125
857	750	124
858	751	123
859	751	122
860	753	121
861	753	120
862	754	119
863	756	119
864	757	118
865	758	117
866	758	116
867	759	115
868	760	114
869	760	113
870	761	112
871	761	111
872	762	110
873	762	109
874	763	109
875	764	108
876	764	107
877	765	106
878	766	105
879	766	104
880	768	103
881	768	102
882	770	102
883	771	101
884	772	100
885	773	99
886	774	98
887	774	97
888	775	96
889	776	95
890	776	95
891	777	94
892	777	93
893	778	92
894	779	91
895	779	90
896	780	89
897	780	88
898	781	87
899	782	86
900	783	86
901	783	85
902	784	84
903	786	83
904	787	82
905	788	81
906	788	80
907	789	80
908	790	79
909	791	78
910	791	77
911	828	79
912	830	79
913	832	78
914	834	77
915	839	76
916	840	76
917	840	75
918	841	74
919	842	73
920	843	72
921	843	71
922	844	70
923	845	69
924	846	68
925	847	67
926	848	66
927	851	66
928	853	65
929	854	64
930	856	63
931	857	62
932	858	61
933	859	60
934	859	59
935	860	58
936	861	57
937	862	56
938	863	56
939	864	55
940	866	54
941	866	53
942	867	52
943	868	51
944	868	50
945	869	49
946	870	48
947	870	47
948	871	46
949	872	45
950	872	44
951	873	44
952	873	43
953	874	42
954	875	41
955	875	40
956	877	39
957	877	38
958	879	37
959	880	36
960	881	35
961	882	34
962	882	33
963	883	32
964	884	32
965	884	31
966	885	30
967	885	29
968	886	28
969	887	27
970	887	26
971	888	25
972	888	24
973	889	23
974	890	22
975	890	21
976	892	21
977	893	20
978	894	19
979	896	18
980	897	17
981	897	16
982	898	15
983	899	14
984	899	13
985	900	12
986	900	11
987	901	10
988	902	10
989	902	9
990	903	8
991	903	7
992	904	6
993	904	5
994	905	4
995	906	3
996	907	2
997	909	1
998	910	0
999	911	0
