iter	Passed	Remaining
0	0	70
1	1	65
2	2	64
3	2	61
4	3	60
5	3	60
6	4	59
7	5	57
8	5	56
9	6	55
10	6	55
11	7	55
12	8	55
13	9	55
14	10	56
15	10	56
16	11	55
17	12	54
18	12	53
19	13	52
20	13	51
21	14	51
22	15	50
23	15	49
24	16	49
25	16	48
26	17	48
27	18	47
28	19	47
29	20	46
30	20	46
31	21	45
32	21	44
33	22	44
34	23	43
35	24	43
36	25	42
37	25	41
38	26	41
39	26	40
40	27	39
41	27	38
42	28	37
43	29	37
44	29	36
45	30	35
46	30	34
47	31	34
48	32	33
49	32	32
50	33	31
51	33	31
52	34	30
53	34	29
54	35	28
55	35	28
56	36	27
57	37	26
58	38	26
59	39	26
60	39	25
61	40	24
62	41	24
63	41	23
64	42	22
65	42	22
66	43	21
67	44	20
68	44	20
69	45	19
70	46	18
71	47	18
72	47	17
73	48	16
74	48	16
75	49	15
76	49	14
77	50	14
78	51	13
79	51	12
80	52	12
81	53	11
82	54	11
83	54	10
84	55	9
85	56	9
86	57	8
87	58	7
88	58	7
89	59	6
90	59	5
91	60	5
92	61	4
93	61	3
94	62	3
95	62	2
96	63	1
97	63	1
98	64	0
99	65	0
